Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,App_Usage_Frequency,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV,
43,52,Suburban,Middle,36,3150.1,14690.5,597.3,113403.7,118,211,3123,46,Weekly,5,3.9,2,22027.99777,
44,66,Rural,Low,531,5568.3,14288.2,2140.6,2956762.3,313,191,849,10,Weekly,8,63.7,1,297728.3944,
45,22,Suburban,Low,91,45.2,193.9,20.7,4117.4,347,286,106,46,Daily,10,22.0,7,10271.0042,
46,36,Suburban,Middle,301,2409.1,4310.3,332.6,725126.8,277,182,2671,22,Weekly,14,67.2,7,86599.98176,
47,24,Rural,Middle,724,15019.1,17913,6693.8,10873827.7,132,155,119,21,Monthly,5,46.2,10,1098915.371,
48,54,Rural,Low,917,4463.9,18421.3,1873.2,4093404.4,147,342,3034,4,Weekly,16,58.7,6,420698.9568,
49,33,Suburban,High,919,19886,62989.1,4824.8,18275279.7,29,192,4809,47,Monthly,0,33.6,2,1842200.88,
50,19,Suburban,Middle,734,3365,10145,1264.2,2469874.9,327,81,1892,33,Monthly,8,14.3,8,260734.3756,
51,40,Rural,Middle,217,15777.5,32956.5,2757.6,3423727.6,320,335,2161,30,Daily,17,63.1,4,352316.118,
52,29,Rural,Middle,735,14103.8,18183.6,5999.2,10366321.7,225,332,3716,46,Daily,20,56.6,7,1055271.809,
53,65,Suburban,Low,923,6449.4,18906.1,2340.7,5952816.1,139,49,759,36,Daily,5,54.6,8,607212.6401,
54,24,Suburban,Low,98,6621.5,29590.7,1824.4,648904.6,289,304,1646,46,Weekly,13,16.1,7,77722.96398,
55,41,Suburban,Middle,456,11275.4,16688.6,5026.6,5141580.6,281,55,4549,25,Daily,1,38.0,3,527482.4102,
56,68,Urban,Low,531,17049,80414.5,2654.4,9052996.8,26,336,231,22,Monthly,9,23.9,8,915462.3264,
57,17,Suburban,Low,809,7729.9,16224.4,3388.1,6253470.5,292,67,1594,42,Daily,0,44.5,4,635701.5574,
58,35,Urban,Middle,538,1233,3857.7,135.1,663346.4,267,115,561,37,Monthly,17,38.8,8,77269.6155,
59,43,Rural,Low,28,7494.6,9488.5,3007.5,209849.9,286,112,1806,37,Monthly,1,13.6,5,32959.50912,
60,62,Rural,High,576,4154.2,11217.1,1368.2,2392807.9,313,159,875,31,Weekly,20,45.3,9,251679.629,
61,22,Suburban,Low,324,18784.7,28244.6,7113.6,6086258.4,97,107,1638,4,Monthly,0,3.7,3,612888.5572,
62,59,Rural,Low,223,13948.5,16625.2,3695.5,3110518.7,138,26,992,24,Weekly,14,6.0,2,316485.1115,
63,23,Rural,Middle,80,1026.1,4993.5,457.4,82091.6,281,110,3735,32,Weekly,10,14.0,4,22770.05655,
64,62,Rural,Middle,563,5866.8,23000.2,1321.6,3303031.4,96,66,1556,6,Daily,1,42.1,2,334432.3804,
65,50,Rural,High,458,1013.8,3929.8,212.9,464328.2,57,205,4353,15,Weekly,14,54.9,2,58521.06617,
66,29,Urban,Low,614,16602,22615.3,3664.1,10193648.4,123,101,4818,48,Monthly,20,56.6,1,1034321.827,
67,32,Urban,High,176,18126.9,85511.7,7427.4,3190328.3,231,206,2476,28,Monthly,13,20.6,8,334663.8321,
68,51,Suburban,High,522,2254.5,6488.1,672.1,1176833,290,1,3571,14,Monthly,4,28.3,1,126798.672,
69,65,Suburban,Middle,749,8811.4,38850.7,2774.1,6599737.1,86,224,676,19,Monthly,3,17.6,8,669088.3811,
70,55,Suburban,Low,457,18638.3,19577.8,8064.1,8517724.5,310,70,3756,21,Monthly,8,3.6,9,868547.3206,
71,19,Rural,Middle,423,2912.8,6387.2,1262.2,1232106.6,51,150,424,9,Daily,12,36.1,6,130104.0308,
72,17,Rural,High,100,5845.2,29133.3,962.7,584515.3,228,215,1600,7,Daily,2,39.7,7,67108.68322,
73,21,Urban,High,890,6092.5,16518.8,1949,5422280.7,6,310,1340,31,Weekly,10,67.4,6,552345.1173,
74,69,Urban,Middle,740,610.9,2781.9,91.9,452040.6,310,142,629,27,Monthly,13,51.5,1,49042.69242,
75,57,Suburban,Middle,403,735.1,1699.6,328.9,296246.1,273,14,4229,8,Monthly,8,67.3,1,39711.77684,
76,19,Urban,Middle,576,19056.3,59099.7,8285.7,10976445.3,344,199,3008,30,Weekly,12,20.8,1,1105833.725,
77,69,Urban,Middle,380,11426.1,50467.9,5024.5,4341933.7,2,19,2065,22,Daily,1,52.4,3,442584.5523,
78,44,Urban,Middle,531,6139.9,21018.6,2345.1,3260286.9,276,315,4463,18,Weekly,17,43.5,7,342997.6146,
79,33,Urban,High,332,7579.7,29566.7,2173.5,2516462.5,91,150,167,31,Monthly,6,22.1,8,262359.5722,
80,41,Urban,Middle,318,14299.7,27388.7,3744.9,4547307.8,262,262,4005,9,Daily,2,16.0,1,464621.5096,
81,59,Suburban,Low,653,7336.7,11911.6,1893.5,4790851.3,242,319,4012,19,Weekly,6,21.7,6,493152.5191,
82,49,Suburban,High,537,4562.9,8766.4,577.1,2450293.7,246,333,16,34,Weekly,6,70.6,8,256098.0897,
83,25,Urban,High,740,2045.7,6080.3,981,1513839.1,79,74,1545,30,Monthly,1,2.6,5,161172.2938,
84,51,Suburban,Low,89,14581.4,61298,4084.4,1297742,311,351,1530,10,Monthly,7,65.2,2,135793.9975,
85,29,Rural,Low,604,3619.5,8744.6,1708.6,2186174.8,304,266,3813,42,Daily,10,55.8,4,232873.7707,
86,46,Urban,High,511,1402.3,4570.4,633.4,716559.4,58,293,1497,39,Monthly,15,39.6,4,81626.21073,
87,63,Rural,Middle,42,8544.8,36052.7,3686.6,358882.4,225,145,542,9,Weekly,7,61.9,4,40295.37271,
88,30,Suburban,High,885,801,1566.1,268.6,708905.8,202,133,726,8,Monthly,13,4.7,8,80917.84474,
89,23,Suburban,High,807,19300.3,87467.1,2714.1,15575351.1,6,148,378,41,Weekly,4,39.6,6,1567725.278,
90,29,Rural,Low,926,12549.6,60392.7,2880.9,11620917,30,79,4435,9,Monthly,6,21.3,9,1180585.936,
91,38,Suburban,High,389,3062.4,3539.8,1045.6,1191277.2,151,309,4302,49,Daily,9,1.7,10,141016.5425,
92,55,Urban,Middle,81,3457.4,4274.8,364.3,280045.9,36,215,3493,36,Daily,19,45.0,1,39319.20948,
93,36,Rural,Low,402,11400.9,15549,1334.5,4583150.3,110,33,3463,36,Daily,20,47.7,1,468298.2716,
94,31,Urban,High,107,7137.7,29315.3,2648.6,763739.2,121,194,845,6,Monthly,5,42.9,2,80327.19336,
95,60,Rural,High,111,15487.6,27217.1,7051.2,1719122.7,241,178,3852,19,Daily,5,28.7,5,184157.8871,
96,33,Suburban,Middle,277,10920.7,42621,4827.6,3025026,259,288,4821,19,Weekly,9,58.1,6,319003.6529,
97,62,Rural,High,214,8672.3,23979.9,1450.5,1855881.7,90,335,673,7,Monthly,8,25.4,3,190317.6901,
98,68,Rural,High,743,19260,83685,8946.1,14310161.5,30,201,3520,16,Daily,2,43.9,1,1440551.628,
99,39,Urban,High,818,7820.7,33114.5,2960.3,6397311.2,237,3,3039,37,Monthly,4,71.7,7,655685.5632,
100,41,Suburban,High,506,8018.2,38797.3,3099.3,4057215.5,170,53,2057,24,Monthly,16,61.1,1,411007.0797,
101,40,Urban,Middle,121,13318.8,26692.9,2951.7,1611573.7,149,258,4445,12,Weekly,0,46.7,7,177887.8295,
102,60,Suburban,High,134,16191.5,31038.4,6256.4,2169657.9,88,121,737,44,Monthly,9,48.9,9,229862.7102,
103,56,Urban,High,818,12528,14107,4809.6,10247934.8,4,150,3958,12,Monthly,4,60.7,1,1033866.052,
104,44,Rural,High,720,13975.2,36917.8,4721.8,10062157.2,252,153,4312,47,Monthly,0,13.5,8,1025532.401,
105,30,Urban,Low,962,7464.9,21172.3,1813.3,7181235.8,51,217,3449,1,Weekly,9,8.8,10,732935.8494,
106,60,Suburban,Middle,371,9595.1,46613.7,4072.2,3559797.6,24,135,1724,36,Daily,13,16.7,9,369533.2154,
107,16,Suburban,Low,257,3948.7,17070.9,1875.7,1014824,46,256,2653,41,Daily,15,53.9,8,118717.9027,
108,40,Rural,Low,697,13608.1,22687,6095.8,9484864.8,116,62,1061,41,Monthly,17,55.7,1,953717.7231,
109,22,Suburban,Middle,798,4436.8,18607.9,874.9,3540585.8,27,287,4683,10,Daily,18,3.0,4,368250.3561,
110,24,Urban,Low,954,35.1,60.2,9.8,33507.7,95,63,1318,19,Monthly,13,5.3,10,17099.78485,
111,39,Rural,Low,875,18675.9,24485.2,4425.5,16341416.7,99,293,829,8,Daily,9,70.7,4,1638984.087,
112,16,Suburban,Low,180,6127.2,26643.3,2346.7,1102904,116,68,3585,44,Daily,7,35.9,1,121742.183,
113,59,Suburban,Middle,933,3940.7,19324.4,1704.7,3676649.3,276,225,3221,44,Weekly,15,39.0,7,384093.7914,
114,23,Urban,High,48,5370.3,7263.1,1000.6,257772.2,336,335,3384,28,Weekly,10,44.5,7,39929.73483,
115,39,Urban,Middle,599,6615.6,28154.2,3168.3,3962774,95,137,2147,33,Weekly,16,69.5,10,411824.7617,
116,26,Rural,Middle,897,9496.2,42133.1,3522.4,8518076.2,199,46,1302,4,Daily,12,12.3,9,862902.447,
117,66,Suburban,Middle,19,1396.3,2059.6,261.6,26530.5,146,95,3075,30,Daily,4,45.9,8,18303.18423,
118,32,Urban,Low,46,1062.9,2267.3,264.1,48895.1,155,290,4805,25,Daily,14,6.4,3,19878.29984,
119,23,Rural,High,451,5865.3,23077.8,831.9,2645244.1,270,364,1960,36,Daily,15,37.5,2,272912.1622,
120,50,Suburban,Middle,898,5922.4,25057.1,2006.7,5318283.7,321,247,1700,43,Weekly,9,32.3,10,548007.3823,
121,50,Suburban,Middle,56,2361.7,5705.7,396,132257.9,276,316,3020,19,Weekly,16,20.0,3,22378.9965,
122,48,Rural,High,741,8101.8,13284.6,3056.3,6003421.9,326,292,1024,7,Daily,14,32.3,8,608836.399,
123,20,Rural,High,657,5687.7,20438.2,2246.1,3736840.6,256,214,599,5,Daily,7,50.6,6,380674.4176,
124,57,Urban,High,92,530.9,2021.4,154.9,48838.2,45,256,1441,17,Weekly,8,60.7,3,10210.39852,
125,54,Suburban,Low,82,17715.6,53402.3,2436.4,1452675.8,1,48,4105,7,Daily,8,56.7,2,154523.7826,
126,56,Suburban,High,737,17721.5,27995.8,6102.4,13060760.4,147,93,2422,24,Monthly,10,42.5,1,1314125.922,
127,43,Suburban,Low,79,4191.6,18350.4,1043.2,331132.7,295,6,645,1,Weekly,8,64.7,8,41552.43835,
128,22,Rural,Middle,662,3265.8,11695.1,1567.1,2161970.1,155,193,1991,27,Weekly,10,50.3,3,224687.5209,
129,24,Urban,Low,873,10950.4,49021.1,3343,9559683.8,56,103,3196,41,Daily,6,60.5,3,968579.1618,
130,23,Suburban,High,283,12618.8,59710.4,1626.6,3571109.8,226,74,3372,24,Monthly,3,29.3,5,370965.1303,
131,27,Rural,Low,311,19151.3,80871.8,6787.6,5956046.7,7,74,4747,19,Daily,18,50.6,5,610619.7136,
132,49,Suburban,High,997,7553.2,36516.9,3110,7530536.1,20,113,1646,5,Monthly,8,6.3,9,765516.2226,
133,48,Urban,Low,160,12367.8,59576.2,2030.8,1978852,159,152,3141,36,Daily,2,69.0,5,210479.6296,
134,63,Suburban,Middle,316,17564.8,61079.6,4911.5,5550489.2,340,263,4319,15,Weekly,18,45.7,7,570023.7831,
135,38,Urban,Low,877,9004.6,35232.2,3577.3,7897013.3,79,86,1754,34,Weekly,12,61.8,7,802421.2916,
136,39,Urban,Middle,979,2455.7,9325.8,265.7,2404122,1,58,750,35,Monthly,15,35.5,7,252242.8327,
137,52,Suburban,High,668,7555.2,26326.3,843.1,5046854.4,336,149,842,0,Monthly,3,3.2,5,509988.9256,
138,50,Suburban,Middle,156,2740,2952.1,1015.9,427435.8,229,214,3414,13,Daily,9,35.9,3,52390.98491,
139,59,Urban,High,888,342.6,830.4,133.6,304249.1,213,300,3428,13,Weekly,2,52.5,7,43359.85558,
140,55,Rural,High,714,15033.5,21051.7,6589.9,10733951.6,283,281,3510,23,Daily,17,5.6,8,1090546.362,
141,37,Urban,Middle,468,4776.1,10512.3,1241,2235210,248,95,2303,18,Daily,20,8.1,4,232196.7394,
142,42,Suburban,Middle,921,50.1,63.9,12.8,46161.3,119,208,2714,37,Weekly,10,4.9,6,18337.11772,
143,50,Suburban,Low,853,17449.9,81667.8,5600.5,14884784.2,227,143,1505,43,Monthly,16,9.5,5,1500351.481,
144,16,Rural,Low,462,8881.3,24915,3578.6,4103178.6,24,83,1427,17,Weekly,16,44.6,10,424567.5227,
145,50,Urban,Middle,854,4784.8,8409.1,1705.3,4086226.9,190,52,3854,8,Weekly,11,63.1,2,417395.811,
146,52,Urban,Middle,117,5263.2,17574.3,1215.4,615791.1,308,17,2742,12,Monthly,3,34.4,1,68413.55491,
147,62,Urban,Middle,666,4818.4,8604.6,1149.7,3209022.8,307,218,4071,50,Weekly,7,58.4,6,337544.4264,
148,29,Suburban,Middle,364,3899.2,16445.8,1580,1419300.7,57,228,3274,44,Monthly,0,29.3,10,160643.059,
149,18,Urban,High,843,16826.1,37415.8,5281,14184412.6,311,292,2608,50,Weekly,20,61.7,6,1433242.967,
150,16,Rural,Middle,631,3414.9,7716.4,475.3,2154820.4,309,201,2374,18,Monthly,10,12.2,7,227425.7143,
151,20,Suburban,Middle,711,11241.5,50359.6,1812.1,7992688.8,89,82,2464,9,Monthly,5,41.7,5,809699.6654,
152,41,Suburban,Middle,913,1555.6,5035.3,685.2,1420291.7,275,128,3805,37,Daily,4,37.9,1,152104.1616,
153,29,Urban,Middle,466,18990.9,86393.7,9486.4,8849774.5,109,80,3935,2,Weekly,14,8.3,6,897900.1112,
154,54,Rural,High,775,12070.2,32004.9,2827.7,9354439.8,141,189,1383,47,Daily,18,17.9,4,945606.5986,
155,42,Suburban,Low,184,18064,42914.9,4600.6,3323779.4,285,156,3620,40,Weekly,14,35.4,7,348435.1213,
156,24,Suburban,Low,960,7963.6,24088.3,1288.5,7645033.7,244,316,3276,16,Daily,6,55.8,2,774639.7481,
157,30,Urban,Low,660,16215.3,20203.8,3150.4,10702120.7,74,160,2950,22,Daily,16,65.2,9,1086076.205,
158,30,Urban,Low,166,17074.6,27606.2,4607.6,2834375.8,355,242,279,26,Daily,20,53.2,7,292028.6639,
159,41,Rural,Low,75,14062,26409.6,3005.8,1054646.7,262,314,3978,8,Daily,0,21.8,5,118822.3975,
160,57,Urban,High,748,1868,7970.3,710.9,1397278.9,176,82,2270,4,Daily,13,8.3,2,146497.1341,
161,28,Rural,Low,826,331.4,1304.3,104.5,273770.2,230,44,2155,18,Weekly,18,38.3,1,33149.68525,
162,66,Suburban,High,272,3379.5,5992.6,1449.5,919226.1,76,162,683,28,Daily,15,25.5,5,99719.79072,
163,47,Rural,High,691,2370.8,4995.2,924.1,1638191.1,323,221,601,14,Daily,1,41.0,10,175595.487,
164,54,Rural,Low,503,14505.5,69293.5,2193.8,7296267.5,183,149,2043,41,Weekly,20,29.3,5,740607.1677,
165,64,Rural,Low,795,11144.6,14969.5,1664.5,8859930.2,274,124,1532,35,Monthly,6,27.9,3,894804.313,
166,67,Suburban,Low,563,10523.8,33568.9,4822.6,5924875.6,277,1,960,11,Weekly,11,65.8,9,603216.3645,
167,47,Urban,Middle,587,5064.8,15640.3,2166.8,2973047.8,227,183,3077,13,Monthly,8,48.4,10,314291.9899,
168,19,Suburban,High,656,3100.6,12101.1,890.4,2033996.7,165,208,506,14,Weekly,16,48.5,1,206783.7649,
169,45,Urban,Low,343,4138.9,8467.1,629.7,1419640.6,275,97,1822,50,Daily,6,10.5,5,154542.9917,
170,52,Rural,Middle,700,8011.5,37967.4,3680.7,5608076.2,217,21,1194,30,Monthly,13,28.7,4,568878.2455,
171,38,Rural,High,635,14805.5,39120.9,2846.8,9401468.8,312,355,874,4,Daily,18,55.2,2,942383.182,
172,54,Rural,Middle,844,5097.8,10923.9,582.2,4302532.4,190,223,2315,43,Monthly,1,41.3,1,439061.3066,
173,60,Rural,Middle,251,13975.3,32806.6,6564.1,3507793.7,18,48,4288,2,Daily,7,33.7,10,368858.5443,
174,30,Rural,Low,808,9835.3,23554.5,4166,7946939.6,232,32,2803,46,Monthly,0,70.1,4,807389.3685,
175,58,Urban,High,835,17710,31802,6683.6,14787818.7,184,288,2807,29,Daily,1,10.7,6,1492342.936,
176,44,Urban,Middle,130,4666,21987,530.1,606575.1,106,130,2117,46,Monthly,19,12.4,8,76907.94513,
177,51,Rural,High,764,9022.6,15334,2809.4,6893285.6,243,278,3190,11,Monthly,14,41.0,10,704532.6866,
178,28,Suburban,Low,358,1942.3,8801.3,702.1,695353.7,53,245,3788,14,Daily,14,29.8,2,79169.64032,
179,47,Suburban,High,944,6709.7,17577.5,2709,6333967.5,226,52,4605,37,Weekly,18,35.1,2,647805.5555,
180,22,Rural,Middle,692,10142.5,21067.1,2925.4,7018637.7,202,209,733,27,Weekly,1,39.9,6,710352.4949,
181,66,Urban,Middle,408,14657.5,26296,7055.2,5980250.6,86,352,4555,48,Daily,4,10.1,4,613927.3629,
182,37,Suburban,High,861,3969.6,11977.6,785.6,3417792.6,50,230,1661,22,Daily,11,20.2,10,355404.922,
183,43,Suburban,Middle,495,4369.7,16067.4,558.9,2162982.5,260,186,4553,46,Weekly,12,39.1,9,237505.408,
184,17,Suburban,Middle,622,12635.2,58032.2,2945.4,7859119.9,319,162,4662,14,Monthly,15,14.7,4,799336.9381,
185,57,Rural,Middle,482,7655.3,27634.1,2792.1,3689869.6,195,199,4134,10,Daily,7,60.6,2,378311.6494,
186,60,Suburban,Low,980,9647.1,28310.8,3809.3,9454134.9,248,279,969,29,Daily,4,56.6,1,949481.1813,
187,68,Suburban,Low,850,16724.3,18963.8,6612.8,14215685.6,56,33,261,11,Daily,20,41.3,6,1427761.869,
188,21,Suburban,Middle,78,9986.7,46555,1440.8,778960.7,177,19,4279,18,Daily,10,36.1,1,87609.76506,
189,43,Suburban,High,978,13053.5,60169.6,5926.7,12766286.4,150,121,4615,31,Weekly,10,67.0,6,1294537.079,
190,43,Urban,Low,514,13138.9,33042.7,2789.8,6753411.6,13,69,3599,0,Weekly,9,54.4,8,690489.3266,
191,59,Rural,High,321,16074.2,17941,2957.1,5159819.1,361,293,3959,15,Daily,12,3.7,6,529072.0677,
192,59,Rural,Middle,788,12766.4,50216.4,4414.4,10059929.8,289,215,385,10,Weekly,10,16.9,4,1009424.768,
193,35,Urban,Middle,290,1305.5,5439.9,241.2,378609,64,123,4348,30,Weekly,18,6.2,2,49586.97708,
194,45,Urban,High,297,6850,21713.7,2077,2034461.3,339,280,1034,32,Weekly,0,71.6,5,212783.3658,
195,26,Rural,Low,681,19786.4,51672.3,5200.1,13474559.2,105,54,1539,35,Monthly,20,31.0,5,1358657.041,
196,43,Suburban,High,752,3938.2,17346.1,759.3,2961557,239,21,1806,29,Daily,10,10.5,8,309774.3683,
197,40,Suburban,High,971,11738.7,20778.3,2545.2,11398291.6,34,97,4163,37,Daily,3,26.4,3,1153039.573,
198,54,Rural,Middle,475,16860.4,46504.9,4568.5,8008682.1,324,346,2474,3,Daily,0,70.6,2,807278.2112,
199,48,Suburban,Low,23,11735.3,12884.7,2798.4,269912,39,138,2056,24,Daily,20,11.2,1,32513.42059,
200,16,Urban,High,806,7451.7,12340.3,1882.5,6006056.1,225,42,4632,33,Weekly,5,26.3,2,613487.073,
201,42,Suburban,Low,172,1613.8,7686.9,636.1,277568.3,129,246,1600,16,Weekly,15,20.6,2,32981.87723,
202,67,Suburban,Middle,835,7239.7,23980.2,1211.6,6045134,133,28,3687,32,Monthly,9,57.1,1,613761.8049,
203,28,Suburban,Low,318,3649.5,15409.7,1281.2,1160550.4,40,58,4790,29,Daily,10,2.8,8,134301.4992,
204,56,Rural,Middle,908,19217.6,56615.2,7134.8,17449624.1,319,127,800,12,Monthly,15,68.2,8,1753983.247,
205,18,Urban,Low,798,14303.5,62067.2,6019.4,11414182.2,221,263,2069,11,Monthly,8,62.7,10,1156158.105,
206,54,Suburban,High,991,14990.2,47306,6579.6,14855257.7,94,144,3275,31,Monthly,11,26.9,4,1496828.463,
207,21,Rural,Middle,855,8725,8883.4,1426.2,7459896.9,99,93,4250,22,Monthly,19,65.0,3,759121.885,
208,23,Suburban,High,193,2208.2,10155,342.9,426182,60,35,3594,28,Weekly,16,31.2,1,52674.74256,
209,42,Urban,Middle,681,5341.7,8516,1847.7,3637672.2,129,92,2857,33,Monthly,19,21.7,8,378714.2673,
210,24,Suburban,Low,916,5201.6,14576.1,2095,4764688.5,132,263,1485,18,Weekly,10,29.9,8,488717.2045,
211,52,Urban,Low,118,9740.7,28313.3,2035.1,1149404.9,301,14,4173,11,Weekly,0,59.6,4,126789.9787,
212,48,Suburban,Middle,6,9225,10968,2862.9,55349.9,69,315,4814,3,Monthly,5,40.8,5,19318.40061,
213,66,Urban,Middle,843,8673.8,10515.1,3546.7,7312038.9,14,318,4858,24,Daily,9,16.4,4,745759.8081,
214,57,Suburban,Middle,483,9924.6,40196.6,4039.3,4793576.8,151,202,4152,25,Weekly,7,5.9,5,492766.5488,
215,59,Urban,Low,132,19740.6,43464.9,7136.8,2605758.1,174,322,338,17,Daily,13,44.1,4,264930.8959,
216,39,Suburban,Middle,93,5974.1,15762.7,785.7,555590.3,345,278,273,29,Weekly,18,59.1,9,67265.47182,
217,30,Suburban,Middle,763,12309.2,40084.4,1480.3,9391942.9,292,144,3961,33,Weekly,20,61.7,1,951273.1026,
218,69,Rural,High,522,4797.8,11963.4,1225.2,2504430.6,196,355,1892,32,Monthly,6,59.4,10,265009.4509,
219,47,Rural,Middle,563,9337.5,38285,1033.4,5256989.6,32,299,3756,30,Monthly,6,37.5,10,544748.025,
220,47,Urban,High,861,4009,18192.2,1850.8,3451735.4,73,353,4528,30,Daily,5,27.8,3,359796.7742,
221,39,Suburban,High,294,11168.3,13836,1206.8,3283469.3,194,354,2438,12,Weekly,18,70.3,7,339855.1542,
222,56,Urban,High,641,5307.6,18797.4,593.6,3402162.4,50,245,1921,23,Daily,10,66.5,6,352252.6966,
